completion	prompt
What camping trip?	Well, anyway Bart, you'll cheer up on our camping trip this weekend.
Oh, uh... you told me not to do it a year ago. Remember?	The one you booked for us at Owl Haven. The one you have to reserve a year in advance.
You're right. No one could be expected to remember something from a year ago. Certainly not me. Pass the gravy?	I don't remember that!
Hey, there's always room at Buzzard's Roost.	Don't tell me you didn't reserve a campsite! Labor day is next weekend, there'll be nothing left!
Excuse me, but grass is poking through.	Excuse me, but Buzzard's Roost is a converted parking lot.
Poking through.	Parking lot.
Poking through.	Parking lot.
Oh, Marge, I can't stand it when you cry at dinner. The pork chops look traumatized. The mashed potatoes can't stand watch. Even the children seem upset. So trust me, I will come through for you, baby.	My biggest sin is that I dare to hope.
Not you.	Oh, Marge, I can't stand it when you cry at dinner. The pork chops look traumatized. The mashed potatoes can't stand watch. Even the children seem upset. So trust me, I will come through for you, baby.
So, what do you say, Marge?	Not you.
And I want you to believe me too. Isn't it great how much we agree?	I want so much to believe you.
Compared to the rest of these people, yeah.	Oh, that's convenient.
Look, I really need a campsite. My wife is making sandwiches!	We've all read the terms and conditions, Milhouse.
What about Mosquito Cove?	Sorry, reservations are a year in advance.
Skunk Canyon?	Booked.
Ooh! How 'bout the campsite where the guy in the hockey mask kills all the campers?	Booked every year since two thousand three.
Hello? Hello? This is Homer Simpson! 742 Evergreen Terrace, looking for a place for my kids and me! And my pretty, pretty wife!	Sir, that is a movie.
You know, alarm code three six seven nine. Three six seven nine!	Hello? Hello? This is Homer Simpson! 742 Evergreen Terrace, looking for a place for my kids and me! And my pretty, pretty wife!
Marge, I have a confession to make about this trip.	Those were your father's sweatpants.
A CAMPING WE WILL GO...	Once again, I've been saved from any consequences. It'll keep happening till one day I create a mess so enormous it can't be cleaned up. Thanks, boy.
A PLACE THAT'S FILLED WITH SUN AND SAND / A DESERT STEAMPUNK DISNEYLAND / KEEP EXPECTATIONS LOWWW... / SWING LOW SWEET CHARIOT...	BUT WHERE? I STILL DON'T KNOW!
Homer Simpson, I love you.	A PLACE THAT'S FILLED WITH SUN AND SAND / A DESERT STEAMPUNK DISNEYLAND / KEEP EXPECTATIONS LOWWW... / SWING LOW SWEET CHARIOT...
Cars shaped like cupcakes!	A world of anarchic free expression!
All camping is pointless. You drive hundreds of miles to shower and sleep in a place with no bathroom or beds. I guess what I'm trying to say is: where's Maggie?	I'm not sure this campground is family-friendly.
Uh, listen here, Desert Arnaz. Homer Simpson knows how to pitch a tent.	Now you know the wind does kick up here. Hope you went three feet down with your tent stakes.
Hey man, can I bum a tent?	Uh, listen here, Desert Arnaz. Homer Simpson knows how to pitch a tent.
Hey Marge!	Does that look like something I'd do?
We got a new tent from a guy who O.D.'d!	Hey Marge!
Aw, let me get a picture of that.	We got a new tent from a guy who O.D.'d!
This place is great. Just have to avoid these inseam-high cactuses!	Suddenly this place doesn't seem so bad.
Get... in... the tent!	It's like someone ironed out all the wrinkles in my brain.
Just like I planned.	Homie, you promised me an incredible camping trip and I got one.
I understand. I already signed up for this place next year. I Gave my form and two hundred dollars cash to that dude.	You got very lucky this time. Don't push it.
I'll take those.	Help me, desert weirdoes!
Beware the butterfly's sting! What the?	I'll take those.
Lisa, how many times have I told you to bow down to our corporate overlords?	Look at all these monstrosities.
It's like some kind of guitar central.	(IMPRESSED NOISE
Stig. You've got a name that's not a name.	Okay, let me guess, dude, you're an axe-man -- you're looking to score a new blade.
What the rock?	Try this on.
I did a lick?	Now that was a lick.
Oh my god... I'm amazing.	Dude, usually it takes years to learn such neck confidence. Now check this out:
I'm not set at all.	Okay. Now oh, how are you set for stage lights?
This is embarrassing to admit, Stig, but I hadn't even thought about gels.	OOh, what about gels?
MUSIC! BEAUTIFUL MUSIC!	WHAT IS THAT RACKET?
Beautiful music, baby.	WHAT?
Sure it is. You know I've always loved laying things down. Grooves are just the latest.	The bass guitar? This doesn't really seem like... you.
Oh yeah, and you know what's the great thing is about music? It's so easy.	It's so cool to have another musician in the family!
So easy.	Uh, well to truly master an instrument you'll need years of--
I don't know guys. I'm not sure I'm feeling this. The bass is kind of known for being a solo instrument.	This menu was right -- good things do happen... at 'Zerz.
I almost forgot the most important thing.	Garage bands rule!
Great practice, guys. What do you say we give it another six hours then call it a day?	I almost forgot the most important thing.
"Oh... yeah, Apu, I'm sure you're a great singer. But the balance of the band is really delicate right now, and we're not really looking for a ""world music"" vibe. No disrespect to world music. I love world music."	Excuse me... My wife told me about your get-out-of-the-house band. And uh, perhaps you need a singer?
That sounds nothing like terrible, terrible world music.	WHEN I CLOSE MY EYES / I WISH THAT I COULD FANTASIZE / PULL A DREAM RIGHT OUT OF THE AIR / TAKE A CHANCE TURN IT INTO A PRAYER...
Guys, are you feeling this? Are you feeling this?	FOCUS LIKE A LASER BEAM / I'LL KEEP FIGHTING TILL I WANT SOMETHING GREAT / HOPIN' FOR A DREAM...
We are more than just a garage band desperate to do anything other than hang out with our families. We are now a cover band. And we shall be called... Covercraft. Because we play covers and this is our craft.	I think we all felt something.
That was not my intent. Okay, Covercraft: hands in.	And it sounds like Hovercraft.
Cover...	That was not my intent. Okay, Covercraft: hands in.
"""R"" ""O"" ""K"" ""C""."	...craft!
Okay, this crowd is about to experience the special magic of the cover band -- the thrill of live music without the fear of hearing anything new.	"""R"" ""O"" ""K"" ""C""."
Apu, what's wrong?	Okay, this crowd is about to experience the special magic of the cover band -- the thrill of live music without the fear of hearing anything new.
I still want one.	You don't know what a per diem is.
Buddy, buddy. Think of it this way: you're not singing in front of all those people, you're alone at the Kwik-E-Mart in the middle of the night. You just wear this on stage, and everything will be fine.	I still want one.
Well son, I do have the talent -- my mind is full of ideas for great songs I could write... down the names of and then cover. But then I remember: I'm just a regular guy, jamming with my buds.	Everyone loves you, Dad. You could become a famous rock star!
Yep. It's all about the music... and it would take a pretty unforeseen development to change that. Pretty unforeseen...	Yeah, you really get that it's all about the music.
Guys, I really need your honesty here. At the Squidport Senior Jamboree... was I too in the pocket?	Gentlemen, I think we've found what we're looking for.
How?	Uh, he passed away.
What kind of erotic asphyxiation?	How?
Oh...	What kind of erotic asphyxiation?
I think I can answer for Apu. He's flattered, but the small-time success of Covercraft is all that any of us have ever wanted.	Apu, you're the only man on the entire internet whose got the pure Sungazer sound. Will you be our new lead singer and join us on our stadium tour?
Apu has a rich life here in Springfield: a store full of great products, a lovely him-type wife, and eight super kids: Anoop, Sandeep, Nabendu, Gheet, Pria, Uma, Poonam, Sashi--	Uh, actually... I...
Not me. I'm nothing but happy that our friend is headed for fame and fortune.	I gotta say, I'm kind of jealous of Apu getting a break like that.
I want his fame and fortune so much! Why must the Lords of Rock be so cruel?!	Not me. I'm nothing but happy that our friend is headed for fame and fortune.
It's something you make sketches about.	What's a game show?
I'm not jealous. I'm envious. Jealousy is when you worry someone will take what you have. Envy is wanting what someone else has. What I feel is envy.	HOPIN'...
You know what? Apu leaving is the best thing that ever happened to this band. We're gonna be like Genesis after Peter Gabriel left.	Wow, he's right.
"Phil Collins-era Genesis is not as good, huh? ""No Reply at All,"" ""Land of Confusion,"" ""Throwing it All Away,"" ""Illegal Alien,"" ""I Can't Dance,"" and I'm sure I don't need to mention... ""Invisible Touch!"""	You mean more popular but not as good?
What? So you can also get famous and bail on us? You're out of the band!	You know, I've been known to sing a little...
Oh, so you're sticking up for Yoko here? Looks like I've got another Yoko on my hands.	You can't just kick him out--
Yoko! Yoko! Yoko! Yoko! Yoko! All you Yokos are out of the band!	How can there be two Yokos--
Do I sound okay?	Are you okay?
They're not juicy. My licks are dry. Dry and scratchy like a cat's tongue.	You sound great! Your licks are really... juicy.
Well it's not enough anymore. When something great happens to one person, everyone else's life gets a little worse. Look it up, it's called physics.	"You didn't join a band to become famous like in ""Almost Famous."" You loved playing music with your friends. That was enough to make you happy."
Oh, you mean he generously invited us to come watch him be a rock star?	Apu is a good man. He sent over front row tickets and backstage passes to his show at the Costington Center.
I'll never have a per diem.	Stop feeling sorry for yourself. Your friend had a wonderful thing happen to him, and you are coming with us to share in his talent.
Apu wouldn't be able to sing a note if I didn't help him get over his stage fright with his Kwik-E-Mart shirt...	I'll never have a per diem.
Backstage pass, you just became a payback rage pass.	Apu wouldn't be able to sing a note if I didn't help him get over his stage fright with his Kwik-E-Mart shirt...
Look at all this rock star dressing room stuff. What a sellout. Cheese plate -- oh, sorry, cubed cheese plate, lemon tea, probably for his throat...	Backstage pass, you just became a payback rage pass.
Let's see how he performs in front of all those people without his magic-people-performing-in-front-of shirt.	Look at all this rock star dressing room stuff. What a sellout. Cheese plate -- oh, sorry, cubed cheese plate, lemon tea, probably for his throat...
I'm sorry, Apu. I thought you were living your dream life, so naturally I wanted to ruin it. But now I know things stink, so I'm okay with it.	Homer!?
Kwik-E-Mart hot dog, eh?	What is the point? I am trapped like a Kwik-E-Mart hot dog on a roller.
HOPIN'! HOPIN'!	DREAMS ARE GREAT OR SO IT SEEMS / IF I NEVER FIND ONE I GUESS THAT'S OKAY / I'M HOPIN' FOR A DREAM...
Tight as a drum.	I'll be right home, honey. I've just got to lock down the reactor for the evening.
Mr. Scrooge!	Simpson!
Headin' home, baby.	Hello?
Nothing's gonna stop me now.	Headin' home, baby.
I'd better be heading home... to my family... enjoy your evening... with your wonderful... uh... neon sign...	Few people know that verdict was overturned in the sequel. Heh.
Hey, um, you gonna be okay?	Yeah, last year I broke it just so the repairman would come. But I'll be fine.
Okay! Okay! I'll stay for one beer.	She took me to a mall and I never saw her again. But I'll never forget that image of her bolting for the parking lot.
But I promised Marge.	Please! Please! Please!
Okay, okay!	Now I'm sittin' on your shoulders! Please!
Hey, what the--	And now, Homer, it's only fair that I give youse a gift: I'm gonna set the clock in the bar to the correct time.
I am so late!	Hey, what the--
Marge, think about what you're saying. It's Sir Isaac Newton's birthday!	I never thought I'd say this to someone I cared for, much less my husband, but I'm saying it now: I don't want you here on Christmas.
Yeah?! Well, good luck assembling all those toys without me!	Out now.
The ghost of Marge Future!	We already did it!
Moe, what are you doing?	What kind of a cheapskate gives you one corncob holder for Christmas?
Hey, pal. Can't believe you have to work Christmas Eve.	Two thirty-nine. Who's he foolin'?
Maybe Marge would forgive me if I won the lotto. Give me a scratcher.	"Nog stands for ""Not Okayed by Government."""
Gimme another one.	Maybe Marge would forgive me if I won the lotto. Give me a scratcher.
Gimme another one.	Gimme another one.
Yeah, but doesn't the money go to schools?	Oh please, stop! Stop it! My religion prohibits me from taking advantage of a fool more than five times. This thing basically has no winners.
Aw, thanks for your honesty, Apu. Is there any other product in the store you'd like to warn me about?	You know, ironically, in India, they did use the money for schools and they had fantastic results.
Wow.	Well... those hotdogs began life as Twinkies!
I don't wanna ruin the magic and I certainly	Why do you always wait till the last minute to put up the lights?
Next year... this is... your job.	I don't wanna ruin the magic and I certainly
... ...	Next year... this is... your job.
... Ooh!... ...	... ...
Even the anchor store's closed.	Neither do I.
Any uplifting holiday movies?	Even the anchor store's closed.
I guess I'll take the Concentration Camp one.	...airplane that lost its propeller.
Well, if I've gotta spend Christmas Eve alone, at least no one will see me.	And a Merry Christmas to you, sir.
What if I left now, and gave you guys my popcorn and soda?	Just 'cause you're here shouldn't make you sad. This is my seventeenth Christmas alone in a movie theater. This is my family. The guy with the smelly pants, the lady that carries empty cans in a PBS tote bag...
Flanders? What are you doing here?	Wow, Homer, you have a very generous side. Can I borrow like, ten thousand dollars?
"Say Flanders, with all the hard luck you've had, how do you stay so happy? And don't say ""Jesus."""	Christmas is my busy season. Sold three pairs of scissors this month! Two came back.
Flanders, are you crying?	Well, sir, our good Lord, and my boys are all I've really got. All Edna left me was wonderful memories and some ungraded papers, which I'm still working my way through.
Listen. Could I buy a left-handed uh... I don't know, eyelash curler?	Ah, just snowflakes on my mustache.
Um. Maybe.	Sure... but your eyelashes are long and luxurious already. Are you just buying this to be nice?
Because Jerk-ass Homer has become Ass-jerk Homer.	Oh, Homer! Unto us this day, a neighbor is born! But why?
You're all right, Stupid Flanders. You're all right.	Well that curled my lashes, but good for you.
I made everyone happy but me. Some Christmas. Feliz Navidad.	My best friend is a great runner!
What the?	No casual racism!
The Nutcracker! Every child's favorite Christmas character! Is this a dream?	What the?
Man, you are a nutcracker. But I've learned something tonight: you know how everyone hates being with their family on Christmas? Well, being without them is worse. Can you find it in your wooden heart to give me a break?	Not a dream. I work at the mall. And it's closed, so scram.
What are you doing here?	All right, listen pal... uh... you wanna go to a party?
Oh my God. Is that girl really doing that?	Where is this party?!
Mmm, load-bearing wall.	Oh my God. Is that girl really doing that?
Woo hoo!	Mmm, load-bearing wall.
This party's great. But all I wish is that I was drinking a beer with my kids right now.	Woo hoo!
Hm?	Homer?
Oh Marge, you found me! You always find me. Now we just have to find your car in the mall parking lot.	Homie, I'm your present tonight. And the present is that I'm not gonna always assume that you screwed up. Because I realize maybe there's a good explanation for what you do. Or a crazy one that's pretty entertaining.
Oh, well, I've been faking the noise 'cause you deserve the best.	I thought I had one of those chirping keys.
You have all taught me a Christmas message I'll never forget: the place to get drunk is at home.	Thank you magical creatures of the mall.
What the? This isn't Halloween!	Each birth is followed by another birth just seconds later.
No.	Are we there yet? Are we there yet?
No!	Are we there yet?
Okay! We're there! Finally!	Are we there yet? Are we there yet?
Damn technology!	Are we there yet? Are we there yet?
Turn it off!	Are we there yet?
Don't worry, this time I'm gonna write down where I parked.	"Okay, remember we're parked in the ""Ethnic Princess"" section."
Look! I see land!	Don't worry, this time I'm gonna write down where I parked.
You planted that on me, man!	Nooo!
Fine. But I'm not paying for the insurance. Oh, what the hell, give me the insurance.	Sorry. No outside pacifiers.
well, that's it. We've visited every section including Churro County, Toonton Abbey...but you know what we haven't had here? I'll tell you: fun. The kind of fun attractive families have in commercials.	And your telegrams will be delivered by --
I just wanna sit down, but the line for the bench is too long.	Hey, Dad, I see a ride that actually looks decent!
Come on! Start this thing! I'm not impressed.	One seat per human!
This is so fake.	Come on! Start this thing! I'm not impressed.
Uh-oh.	This is so fake.
Prove it.	We've left Earth's atmosphere!
What the? This isn't Halloween.	Welcome, humans. There is nothing to fear. I am Kang the Abductor.
Potato chips!	Whatever you say shall materialize!
Look at all these knobs and buttons. They are clearly a superior race. But maybe that means they'll be nice to us.	Let me just... there you are... like new... not a freak of nature...
That's right. Pick the only two times in history where things got messy.	You mean like Europeans were to the Native Americans? Or the Belgians were to the Congo?
Wow. This place is completely alien but everything's in English. Just like Canada.	Slipped on some drool? Larry H. Zeeblezorp will have you rolling in space credits!
Can I turn my phone on?	Wow. This place is completely alien but everything's in English. Just like Canada.
I say we take this bucket home!	Now what?
To Earth!	I say we take this bucket home!
Come on... come on... you son of a--	To Earth!
Yeah, you really went with the purple theme.	Purple landscape... purple trees...
See, Marge?	All well and good. You obviously exercise.
You're the doctor.	Anything you need? Perhaps you'd care to have your ink gland expressed.
Fine.	Homer! You have to stop dropping your pants for everyone who claims they're a doctor!
Okay.	Here you go.
What the?!	Okay.
Well, we haven't heard from Maggie yet.	What the?!
What the? Pfft. Gibberish! Pure gibberish!	Well, we haven't heard from Maggie yet.
'Tis a far, far better thing I do than I have ever done before.	You're the last vote, Homie.
That kid's got talent, but c'mon!	Hey look, Maggie made you a farewell card.
I get it, Lisa. I finally get it.	Now do you see why I'm a vegetarian, Dad?
I'd like rabbit. Lots of rabbit.	You do get a last meal.
Fondue? Welcome to a faculty dinner party in nineteen seventy-nine.	Our elder Klaunax has been chosen for our ceremonial first bite, after which Homer Simpson will be dipped into a spicy cheese fondue.
Yes! This mysterious tube can only lead somewhere good. So long you stupid slobbering... what the?	A transporter beam! Someone is trying to steal our sacrifice!
So, what do you eat, space broccoli?	We are the resistance. We don't believe in the barbaric consumption of other species.
Where are you taking me?	Let's go, Homer.
Why are they dancing? Shouldn't they be making weapons?	You are about to behold the secret rebel base.
...but perhaps Earth's greatest achievement is moon rocks. Oh, and the golden age of radio.	In a minute! First, noble human Homer Simpson will explain his primitive yet beautiful culture.
What about my family?	Silence! Homer, we will get you back to Earth.
Sex mate? Clearly you've never been married. But it's great, I'm telling you.	Why do you care? It's just your sex mate and spermlings.
Well, it is a great party.	Unfortunately, we only had the means to build the spaceship for one. We spent most of our money on the party.
Suddenly, this trip has gotten interesting.	The pod is equipped to fulfill your deepest desires. Just concentrate.
What the?!	Suddenly, this trip has gotten interesting.
Oh who am I kidding? I couldn't enjoy calorie one without my family. I'm going back to save them.	What the?!
I think somebody's afraid to admit he's out of glaze.	No I didn't! You licked it off!
What's that?	I shall take the first bite. It is quite an honor.
It does look delicious.	Part of your magnificent behind. We sliced it off when you were sleeping.
Don't you people realize your queen is dying?	Homer!
Captain's log, Star date: six-five-eight-four-eight point two. After successfully conquering the Rigelians...	Useless humans! We will send you back to your planet, and your memories will fade. So it will be as if none of this ever happened.
I have such a big ass.	Thank God it's just like her busy box.
Set a course, Mr. Maggie. Anywhere but home.	The cat ate my heart medicine!
We sure will miss your, your, um, uh -- what'd you do again?	Good ol' Don.
But, wait a minute! That's my job!	Safety Inspector. 7-G.
That would explain a lot. But why did you do it?	Yes. Of course it is. There are two of us, and I've been covering for you all these years.
No, please! All I'm asking you to do is stay twenty-one more years!	But now you won't have me to protect you.
Stressful. Do you see how loose my tie is?	How was your day?
And Marge, I've got this weird new feeling in my stomach. A little sour and a little sick.	Oh, sweetie...
They have a lot of funny words for not-so-funny things.	"There's a Yiddish word for it: ""shpilkes."""
Look, I don't have time for childish games. If I don't do my job, atoms go boom!	Hey, Homer. Carl and I are gonna see if we can sneak out of the men's room without setting off the automatic toilets, ninja-style.
Yes, sir. Yes, sir. Can I get a four fifty-five wakeup call?	Simpson! I want a full plant status report at five o'clock.
It's called a double standard. One of the bedrocks of parenting.	I thought we weren't allowed to do homework at the table.
No. Marge, if I lose my job in this economy, it's a death sentence. Oh, I guess, as a fallback, I could direct films like Angelina Jolie. How many properties do we have an option on?	You've been working so hard lately. Maybe you should take a break.
What?! When were you gonna tell me?	None.
The circus? Hmmm, I haven't been to the circus since I was a kid.	"Homie... workaholic is probably your best ""aholic"" ever, but you need to relax...so I got us all tickets to see the circus on Saturday."
Okay, Marge. We can go to the circus. Maybe I can finally find out why a man would think a stool is a proper defense against a lion.	Is that true?
Dammit! This circus Wi-Fi is a joke!	Okay, Marge. We can go to the circus. Maybe I can finally find out why a man would think a stool is a proper defense against a lion.
How can anyone relax when they made us park in stack parking?	I thought you were going to try to relax.
What kind of insane parking system is designed so you're blocked in by everyone that arrived after you?!	I knew he wasn't gonna like the stack parking.
The early bird gets the shaft!	What kind of insane parking system is designed so you're blocked in by everyone that arrived after you?!
Oh my God. What if all those clowns are parked in the same lot as us? Maybe there's better Wi-Fi in the freak tent.	Shhh!
'Scuse me, pardon me, what the Hell?	Oh my God. What if all those clowns are parked in the same lot as us? Maybe there's better Wi-Fi in the freak tent.
Oh! Finally! The business call I've been waiting for! Hello, this is--	'Scuse me, pardon me, what the Hell?
Eh, they'll grow back.	Hey!
Oh for God's-- now? Do you have to?	Homer, I have to use the Porta Potty.
Fine. But I'll be amazed if I'm astounded.	Hey Dad, since we've gotta wait, can't we please see an act?
Hey, is that time right? I have a deadline in an hour and a half!	I need a new volunteer. How about you, sir?
Okay.	You know, Dad, studies show being hypnotized makes you more efficient.
Ooh, patter!	Now we've never met, have we, sir?
No, but we're having fun trying. Wait, I mean three.	Do you have any children?
Look, can we get to the point? I'm stack parked. Did you hear me? Stack...	When I snap my fingers you shall be ten years old.
No I'm not.	You are ten years old.
No I'm not.	Yes you are.
No I'm not.	Yes you are.
Yes you are.	Yes you are.
Yes you are.	Yes, yes you are.
Yeah you are too.	Look, I said, you are.
I know you are but what am I, infinity plus one! Jinx!	I'm not convinced.
Ew! Gross!	Now I'm gonna test just how deeply Homer's mind has been affected. Take a sip of this, young man.
Help... help me.	I'm saying he so desperately needs to believe he's ten, that only the original hypnotist who did this can undo the trance without risking permanent damage to Homer's psyche.
Psych!	Dear God!
Oops.	Psych!
Ask for boogers on Bart's half!	Then can we get pizza on the way home?
Get the ball, boy! C'mon!	Booger pizza. You better pray they find that hypnotist, Marge.
Go get it, boy!	Get the ball, boy! C'mon!
Um, Mrs. Simpson?	Well, I guess it'll have to be in Bart's room. And I thought when Homer cut off his thumb was bad.
I'd be too nervous. Have you noticed that she's kinda hot?	Homer, can't you sleep with Mom?
I'm ready to go to school.	If I'm gonna get through this day, I better Irish up my coffee.
I'm not? Cool! Am I sick?	Homer... you're not going to school.
'Cause if I'm sick, I get to stay home and make s'mores. All I need is graham crackers, chocolate, marshmallows, sticks, fire...	I'm not? Cool! Am I sick?
...did I say graham crackers?... chocolate, marshmallows, sticks, fire...	'Cause if I'm sick, I get to stay home and make s'mores. All I need is graham crackers, chocolate, marshmallows, sticks, fire...
Can I play?	"Every day's the wrong day to wear culottes. You're ""it""!"
I'm beat.	No he doesn't.
Today was fun.	I'm beat.
Why you little--	Yeah! Listen, Homer...do you ever think about what you want to do when you're grown up?
I'll eat in bed. Not just snacks, messy stuff like lasagna... Oh, and TV would be on. Loud.	Why you little--
Pff. Wife? Three kids? Steady job? If I did, I'd secretly be very sad. You could tell by how much I would eat and drink and just sit on the couch.	Hey, would you ever wanna have a real job and a family?
...your Ma says I should do something with you. Need some help with your homework?	Lisa...
Wanna see me make a muscle?	I'm done.
Well, that's everything I know that girls like.	Not right now.
Okay.	Listen, Homer. I just want to take advantage of this opportunity to have you enjoy my saxophone with me.
DOO DOO DOO DOO DOO DOO DOO-DOO-DOO D-DOO-DOO / DOO DOO DOO D-DOO-DOO DOO-DOO-DOO D-DOO D-DOO-DOO D-DOO DOO D-DOO DOO	Okay.
D-DOO DOO DOO DOO DOO! Y'know, you're the closest thing I've ever had to a brother.	Thank God they pulled that other safety inspector out of retirement.
Change back to what?	Me too. And you know what? I'm afraid you might... change back.
Bloated corpse under the water. I'd say he's been there a few months at least. Interesting the way his lips move just like mine. Why do you ask?	Look in the lake. Tell me what you see.
Woo hoo!	I wanted you to enjoy being a kid just a little longer.
What do we do next? What do we do next?	We've returned to Itchy and Scratchy Land, which means you'll have to pay again.
Bye, Bart. Stay ten forever.	Homer, come here.
- parked! I hate stack parking! Wait! Where am I? This isn't the circus! It's an amusement park! The furthest thing from a circus!	You are back!
Marge, sweetie, I'm not gonna lie. I must have tied one on at Moe's. If you have it in your heart, could you forgive me and totally blame my friends?	Well, here's what happened...
Ooh! I've missed you too.	Homie, I've missed you!
Y'know, I used to have this friend... I told him all my dreams. Really, really great kid.	Recommended by a kid I used to know.
The best. Wonder what ever happened to him.	You think so?
You know, boy, I'm not sure I can strangle you anymore. I'm gonna try something new.	Well... maybe you sat on him and he was never seen again.
What do you say, boy? Wanna split the lasagna?	You know, boy, I'm not sure I can strangle you anymore. I'm gonna try something new.
Why you little...?!	Get lost.
It's good to be back.	Oh, so good to have you back.
It is!	A bald eagle!
Marge, an eagle is our country's mascot. Fighting him is like kicking George Washington in his wooden nuts!	Homer, quick! Get your shooing broom!
This means war! Boy, bring my toupee!	Marge, an eagle is our country's mascot. Fighting him is like kicking George Washington in his wooden nuts!
Go ahead, boy.	This means war! Boy, bring my toupee!
Uh, Pittsburgh thirty-five, Dallas thirty-one!	Gotcha!
Ha-ha! Stupid eagle! It wasn't the mouse we were after, it was you! Marge! Preheat the oven!	Uh, Pittsburgh thirty-five, Dallas thirty-one!
You-- get-- out!	Ha-ha! Stupid eagle! It wasn't the mouse we were after, it was you! Marge! Preheat the oven!
I've got him cornered, boy! Bag him up!	You-- get-- out!
Oopsie.	Not so majestic in a trash bag, are ya?!
Seems almost a shame I'm gonna have to bang you against a wall till you die.	Oopsie.
Um...	No! Let's take the eagle to Shelbyville Animal Rescue. Where you took that injured hummingbird you found on the front lawn.
Okay. Bart, think of a name. Make it great. Insanely, unbelievably great!	Or, maybe we can nurse him back to health and set him free in the wild.
Perfect! Just like when we let you name Maggie.	Squawky?
Bye!	Squawky, until I met you, I never thought I could love something bald.
Die!	Hello. I'm Elon Musk.
You're the guy who put wheels on luggage? Oh, bless you! Bless you!	Dad no! Elon Musk is possibly the greatest living inventor!
And now he's landed in our yard, on my son's bike and on our mailman's leg.	His company perfected electric cars and then gave away the patents! He changed the way Hollywood drives!
Mmm, raisin detra.	What did bring me to Springfield? Well, to start with, I'm an idea man. It's my raison d'être.
Hey Elon, if you're interested, you could come to the nuclear plant where I work tomorrow.	That's so sad. Maybe we're the same, two lost ships in the intellectual sea, each of whom could inspire the other to...
Great. And if anyone asks where I am, just cover for me.	I am! And I will!
"Fine. We'll both go. And if anybody asks you something you don't understand, just say, ""protons."""	Homer!
So do you get satellite radio cheaper in space?	"Fine. We'll both go. And if anybody asks you something you don't understand, just say, ""protons."""
"""Ass, gas or grass, no one rides for free."" It's as old as the Bible."	Homer, if we're gonna carpool together, there's one thing you have to know.
Ditto.	No, it's that I don't talk to anyone unless they provide the mental stimulation I seek.
Uh... don't tase me, bro. Chocolate rain!	Oh wow! That's an idea! White meatballs. Synthetic meat that you can print from your printer. Say something else. Please, now!
What about the chocolate?	Tase... bro... chocolate rain. Use electroplating to remove metal ions from rainwater, making it suitable for drinking!
Um...	Well, come on, keep throwing things at me.
I gotcha!	Oh! This is a break! We're-- we're taking a break!
Well duh!	You're fun!
"Suggestion for the ""suggestion box."""	What are you writing? Share, buddy.
Be my guest, but I seriously doubt the old man ever reads 'em.	Can anyone make a suggestion?
Careful, Elon. He's not as kindly as he appears.	Well, you'll need to increase the capacity of your plant. You cover the costs, you get a hundred percent of the profits.
So... what kind of lunch do you pack?	Hey wait a minute!
Wow. Elon, you're like Willie Wonka without the underpaid munchkins.	So... what kind of lunch do you pack?
Uh, I'd like to offer you something... but all I've got is coffee... with cream!	Wow. Elon, you're like Willie Wonka without the underpaid munchkins.
Come on, I want cream! Give it up! cream and sugar are one thing too many!	Uh, I'd like to offer you something... but all I've got is coffee... with cream!
Wow. Wow. Between your genius and my nothing, we make a great team. Come on, give me a hug.	Exactly! Exactly! What if we make the cream cup out of sugar so it dissolves in the coffee?
Well, I'm not one for just talking.	Sorry, I'm not one for hugging.
Does that drone do date nights with the wife?	Well, I'm not one for just talking.
SINCE YOU CAME DOWN FROM THE SKY	Oh boy! ELON, ELON YOU'RE MY GUY
Car, go park at work so people think I'm there.	SINCE YOU CAME DOWN FROM THE SKY
You really came back from that Tommy John surgery.	You're welllcome...
More of what?	Tell Musk there's more where that came from.
No. It's Elon. I don't care how much he likes me, I don't wanna be friends with him anymore. None of his pie in the sky ideas ever work out. Sky pies are lie pies! Of all the planets in the universe, why did he have to come to this one?	What's wrong Homer? Is it that all your friends are out of work and it's kind of your fault?
How do you break up with a guy?	No. It's Elon. I don't care how much he likes me, I don't wanna be friends with him anymore. None of his pie in the sky ideas ever work out. Sky pies are lie pies! Of all the planets in the universe, why did he have to come to this one?
Wow, you're good at that.	"Here's what you do. You just take his hand, look in his eyes and say ""I don't want to be with you anymore."""
Oh my God! Oh my God! You saved my life. Which is gonna make what I'm about to say even more awkward...	But, uh, three of your hit men don't. Recoil was pretty bad.
Elon, Elon, Elon! I want to say something to you and I don't want you to be inspired by it. I want you to listen.	Whatever you want we'll make it work. Right, Homer?
I don't want to be with you anymore.	No!!!
I could say it's the being shot at or the flat, emotionless way you talk or the fact that PayPal was my idea and I was just about to do it when you came out with it... but really it's that this town isn't ready for you, and neither am I.	Can I ask why?
It's on your face too!	It's okay. I'll be fine.
Well, I've saved you one last prize from the Cracker Jack box that is my brain. Use it as you will.	It's on your face too!
On a Miami Dolphins helmet the little dolphin is also wearing a helmet.	Well, I've saved you one last prize from the Cracker Jack box that is my brain. Use it as you will.
When you're sixteen I'll drive you to Cincinnati. And you'll see what there is to see.	I just wanted to see if there was a better life. Even for a little bit.
Nothing.	What's wrong, Dad?
